Prop_1,Prop_2,Prop_3,Prop_4,Prop_5,Prop_6,Prop_7,Prop_8,Prop_9
envelope,binder,notebook,quill,mouse,paper_towel,book_jacket,desk,laptop
web_site,hook,sewing_machine,toaster,switch,nail,loupe,hatchet,dishwasher
spotlight,table_lamp,window_shade,lampshade,altar,umbrella,screen,web_site,monitor
web_site,envelope,jean,kimono,abaya,Windsor_tie,poncho,gown,sunglasses
monitor,web_site,desktop_computer,envelope,laptop,screen,notebook,tripod,window_shade
sewing_machine,screwdriver,toaster,tape_player,cassette_player,CD_player,remote_control,Crock_Pot,joystick
screen,desk,monitor,desktop_computer,printer,notebook,computer_keyboard,mouse,space_bar
web_site,bikini,crossword_puzzle,notebook,carton,jean,menu,pajama,maillot
desktop_computer,mouse,desk,computer_keyboard,monitor,screen,web_site,notebook,joystick
envelope,laptop,notebook,hard_disc,carton,binder,printer,cellular_telephone,wallet
carton,laptop,envelope,binder,wallet,packet,mailbox,modem,web_site
radio,hand-held_computer,notebook,laptop,modem,oscilloscope,web_site,tape_player,screwdriver
desktop_computer,monitor,screen,accordion,television,desk,notebook,home_theater,loudspeaker
binder,notebook,envelope,carton,laptop,wallet,hard_disc,printer,photocopier
Persian_cat,guinea_pig,Norfolk_terrier,laptop,hamster,notebook,Norwich_terrier,Siamese_cat,mouse
notebook,hand-held_computer,web_site,computer_keyboard,lab_coat,desktop_computer,laptop,desk,remote_control
desktop_computer,radio,loudspeaker,monitor,screen,home_theater,television,microwave,entertainment_center
pinwheel,envelope,necklace,coil,handkerchief,bow_tie,pot,kimono,carton
pinwheel,envelope,carton,web_site,Band_Aid,packet,whistle,laptop,umbrella
wall_clock,pinwheel,envelope,analog_clock,umbrella,carton,coil,web_site,stopwatch
envelope,pinwheel,carton,umbrella,traffic_light,coil,packet,spotlight,thresher
envelope,carton,binder,umbrella,coil,book_jacket,packet,pinwheel,pillow
pinwheel,envelope,coil,carton,umbrella,web_site,traffic_light,safety_pin,thresher
crossword_puzzle,web_site,vizsla,bloodhound,envelope,loupe,pug,analog_clock,electric_ray
